title,company,experience,salary,location,skills,posted
Urgent Requirement of Data Analyst,Fortuna Retail,0-2 Yrs,Not mentioned,Gurugram,"Power Bi, Power Query, SQL, Python, VBA, Appsheet, Bigquery, Advanced Excel",2 weeks ago
Data Analyst,ADA Global,0-1 Yrs,Not mentioned,Bengaluru,"python, data analysis, data analytics, power bi, data warehousing, dashboards, business intelligence, sql",3+ weeks ago
Data Analyst (IoT),Log9 Materials,0-6 Yrs,Not mentioned,Bengaluru,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",3+ weeks ago
Analyst/Data Analyst - Val Rsch,eClerx,0-2 Yrs,Not mentioned,Coimbatore,"linguistics, language teaching, data analysis, data analytics, analytical, data validation, verbal communication, problem solving",3+ weeks ago
Looking For immediate joiners - Lab Data Analyst-Python Programming,IQVIA,0-1 Yrs,Not mentioned,Hybrid - Bengaluru,"PYTHON PROGRAMMING, Pyspark, Logical Approach, Python Data Analytics, Python Data, PYTHON SCRIPTING, Numpy, Logic",3 weeks ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago
Fresher - Data Analyst,Automotive Manufacturers (AMPL),0-2 Yrs,Not mentioned,Kanchipuram,"Excel, Data Analysis, QC, Quality Control, Data, Control, Analysis, Quality",1 week ago
Data Analyst,ADA Global,0-1 Yrs,Not mentioned,Bengaluru,"python, data analysis, data analytics, power bi, data warehousing, dashboards, business intelligence, sql",3+ weeks ago
Data Analyst (Walk in Interview),Wyzmindz Solutions,0-1 Yrs,Not mentioned,Bengaluru,"Power Bi, Data Analytics, Bi Tools, Tableau, Bi, Interviewing, Data analysis, Analytics",3+ weeks ago
Data Analyst,Mirza International,0-1 Yrs,Not mentioned,Noida,"Advanced Excel, Excel, Data, Data analysis",2 days ago
Data Analyst,Eduport,0-1 Yrs,Not mentioned,Kozhikode,"Data analysis, Machine learning, Data processing, power bi, Predictive modeling, Data Analyst, Forecasting, SQL",1 week ago
Data analyst,Inginit,0-3 Yrs,Not mentioned,Mumbai,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago
Data Analyst,Legistify,0-1 Yrs,Not mentioned,Gurugram,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago
AI Data Analyst,Job Excel,0-3 Yrs,Not mentioned,Mumbai,"Data Analytics, Prompt Engineering, MIS, Advanced Analytics, AI, Ai Platform, Analytics, Engineering",4 days ago
Data Analyst,Clustor Computing,0-2 Yrs,Not mentioned,Nagpur,"Analytical skills, Data analysis, Manager Quality Assurance, data science, power bi, Data analytics, data visualization, digital transformation",3+ weeks ago
Urgent Requirement of Data Analyst,Fortuna Retail,0-2 Yrs,Not mentioned,Gurugram,"Power Bi, Power Query, SQL, Python, VBA, Appsheet, Bigquery, Advanced Excel",2 weeks ago
Data Analyst,Maven Marketing,0-7 Yrs,Not mentioned,Chennai,"database maintenance, python, data analysis, data management, data analytics, problem solving, dashboards, sql",3+ weeks ago
Data Analyst,Ebizneeds (India) Internet Solutions Pvt. Ltd,0-3 Yrs,Not mentioned,Jaipur,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago
Analyst/Data Analyst - Val Rsch,eClerx,0-2 Yrs,Not mentioned,Coimbatore,"linguistics, language teaching, data analysis, data analytics, analytical, data validation, verbal communication, problem solving",3+ weeks ago
Data Analyst (Deployment),Legistify,0-2 Yrs,Not mentioned,Gurugram,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago
Data Analyst,Ensologic Commerce,0-7 Yrs,Not mentioned,New Delhi(Rohini),"Ecommerce Operations, Market Place, Retail, last, Cataloguing, Catalog Management, E-commerce, Management",1 day ago
Data Analyst (IoT),Log9 Materials,0-6 Yrs,Not mentioned,Bengaluru,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",3+ weeks ago
Online Data Analyst - Kannada,TELUS Digital,0-2 Yrs,Not mentioned,Remote,"Data Analysis, Mapping, Online Data Analysis, quality assurance, AI models, machine learning, Artificial Intelligence, Analysis",6 days ago
Data Analyst,Digital Glyde,0-3 Yrs,Not mentioned,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Data analysis, Excel, Statistical analysis, Analytical, power bi, data integrity, Data Analyst, data visualization",3+ weeks ago
Data Analyst,Teplar Solutions,0-4 Yrs,Not mentioned,Coimbatore,"Analytical, Litigation, Workflow, Customer support, Business Development Executive, Client interaction, Data Analyst, MS Office",3+ weeks ago
Data Analyst,Great Place to Work,0-2 Yrs,Not mentioned,Hybrid - Mumbai(Lower Parel),"Power Bi, Data Analysis, Excel, Research Analysis, Data Visualization, Dashboards, Data Reporting, SQL",3 weeks ago
Data Analyst / Founder's office,Lynkit,0-5 Yrs,Not mentioned,Delhi / NCR,"Google Sheets, Data Management, Data Analysis, Data Analytics, Advanced Excel, Foundation, Office, Analysis",3 weeks ago
Data Analyst Course,Eduluk,0-3 Yrs,Not mentioned,New Delhi,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago
Data Analyst,Barclays,0-7 Yrs,Not mentioned,Pune,"Automation, Data analysis, Change management, Operational excellence, Analytical, Data quality, Operations, Financial services",3+ weeks ago
Data Analyst,RR Groups,0-1 Yrs,Not mentioned,Bengaluru,"data analysis, modeling, documentation, bi, strong analytical skills, power bi, problem solving, dashboards",3+ weeks ago
Data Analyst,Bombay Play,0-3 Yrs,Not mentioned,Bengaluru,"C++, Analytical, Machine learning, Javascript, Data Analyst, Open source, Statistics, Analytics",3+ weeks ago
Data Analyst,Barclays,0-7 Yrs,Not mentioned,Pune,"advanced analytics, Analytical, Machine learning, Service excellence, Data Analyst, Business strategy, Assistant Vice President, Individual Contributor",3+ weeks ago
Python Data Analyst,Mantras2Success Consultants,0-4 Yrs,Not mentioned,Bengaluru,"Supply chain, Automation, Data analysis, Data management, Analytical, Data Analyst, Continuous improvement, Forecasting",3+ weeks ago
Data Analyst,Improx Data And Cloud Consulting,0-2 Yrs,Not mentioned,Pune,"Operations Analyst, Data management, Coding, Data collection, Test cases, Continuous improvement, Information technology, SQL",3+ weeks ago
Data Engineer / Analyst,We Shine Academy,0-3 Yrs,Not mentioned,Chennai,"hive, python, data analysis, data analytics, oracle, scala, data mining, data warehousing",3+ weeks ago
Data Analyst,Paramount Health Services,0-4 Yrs,Not mentioned,Thane,"Analytical skills, tableau, Machine learning, Data Analyst, Oracle, SQL, Python, Data",3+ weeks ago
Data Analyst,Primohunt Corporate,0-3 Yrs,Not mentioned,Pune,"Analytical skills, Market study, Data analysis, Google Analytics, Coding, Database, Webtrends, Data Analyst",3+ weeks ago
Data Analyst,Grid Dynamics,0-3 Yrs,Not mentioned,Hyderabad,"Data modeling, Analytical, Corporate, Performance optimization, Data Analyst, Medical insurance, Analytics, SQL",3+ weeks ago
Analyst/Data Analyst - Val Rsch,eClerx,0-4 Yrs,Not mentioned,Coimbatore,"Excel, Analytical, Data Analyst, Management, Operations, Logistics, Analysis, Data analysis",3 weeks ago
Data Analyst,Augie,0-3 Yrs,Not mentioned,Bengaluru,"Market analysis, Usage, Excel, Data collection, Database, Data Analyst, data visualization, Troubleshooting",3+ weeks ago
Data Verification Analyst,Foundation Ai,0-5 Yrs,Not mentioned,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago
Data & Records Governance Analyst,Barclays,0-7 Yrs,Not mentioned,Pune,"remediation, Senior Analyst, Machine learning, data governance, Data quality, Risk management, Continuous improvement, Stakeholder management",3+ weeks ago
Data Analyst with MDM,Clifyx Technology,0-5 Yrs,Not mentioned,Bengaluru,"Stakeholder Engagement, RFI, Data structures, software asset management, Business process mapping, Data Analyst, Windows, Vendor",3+ weeks ago
Data Analyst,Claight Corporation Expert Market Research,0-1 Yrs,Not mentioned,Noida,"Data analysis, Data Analyst, Analysis, Data",3+ weeks ago
Data Analyst,Fireblaze Ai School,0-2 Yrs,Not mentioned,Ahmedabad,"Performance tuning, Automation, Data analysis, Data modeling, Analytical, Machine learning, Macros, SQL",3+ weeks ago
Data Analyst,Eduport,0-1 Yrs,Not mentioned,Kozhikode,"Data analysis, Automation, Excel, Sales operations, Analytical, Data processing, data visualization, SQL",3+ weeks ago
Data Analyst,Mr Technical Veer Digital Services,0-3 Yrs,Not mentioned,Lalitpur,"Data Analyst, Data, Data analysis",3+ weeks ago
Data Analyst,Recruitrix Technologies,0-2 Yrs,Not mentioned,Hyderabad,"Graphics, Excel, Data management, Data Analyst, Statistics, Data analysis, Management, Data",3+ weeks ago
Data Analyst,Arcgate,0-5 Yrs,Not mentioned,Udaipur,"Data Analyst, Data, Data analysis",3+ weeks ago
Data Analyst,Kaleesuwari Refinery and Industry (KRIPL),0-3 Yrs,Not mentioned,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore","Data Analyst, Data analysis, Data",3+ weeks ago
Data Analyst,Peroptyx,0-2 Yrs,Not mentioned,Remote,"Protection system, Independent Contractor, Analytical, Social media, Antivirus, Data Analyst, Research, Evaluator",3+ weeks ago
Data Analyst,Diensten Tech,0-1 Yrs,Not mentioned,Gurugram,"Data Analyst, Data analysis, Data",3+ weeks ago
Data Analyst,Snware Research Services,0-3 Yrs,Not mentioned,Gurugram,"Data validation, Quality standards, Project tracking, Quality check, Debugging, query, Data Analyst, SPSS",3+ weeks ago
Data Analyst - German,Numerator,0-7 Yrs,Not mentioned,Vadodara,"Training, Retail, Usage, Database, German, Data Analyst, Research, Data entry",3+ weeks ago
Data Analysts / HTML Editor,Ace Software Exports,0-4 Yrs,Not mentioned,Rajkot,"Training, Adobe Acrobat, XML, Epub, HTML, Editor, Testing, Data analysis",3+ weeks ago
Data Analyst,Mantras2Success Consultants,0-6 Yrs,Not mentioned,Ahmedabad,"Career development, Data analysis, Data validation, Excel, Risk analytics, Business analytics, MongoDB, SQL",3+ weeks ago
Python Data Analyst,Mantras2Success Consultants,0-3 Yrs,Not mentioned,New Delhi,"Supply chain, Automation, Data analysis, Data management, Analytical, Data Analyst, Continuous improvement, Forecasting",3+ weeks ago
Data Analyst,Aroha Technologies,0-3 Yrs,Not mentioned,Bengaluru,"Data Analyst, Data analysis, Data",3+ weeks ago
TARIFF DATA ANALYST,Innover Digital,0-5 Yrs,Not mentioned,Bengaluru,"Supply chain, IT services, Trade, Management systems, Project management, Data Analyst, trade operations, Continuous improvement",3+ weeks ago
Data Analyst,FE Fundinfo,0-3 Yrs,Not mentioned,Chennai,"Analytical skills, Data management, Focus, Agile, Deployment, Data Analyst, Management, SLAS",3+ weeks ago
DATA ANALYST / DATA EXECUTIVE,Anutech Solutions,0-3 Yrs,Not mentioned,Vijayawada,"Data Analyst, Data Executive, Data analysis, Data",3+ weeks ago
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,0-5 Yrs,Not mentioned,"New Delhi, Gurugram","Product management, ERP, Data analysis, PHP, Data Analyst, Open source, Data mining, SQL",3+ weeks ago
Analyst - Data Enrichment,eClerx,0-1 Yrs,Not mentioned,Coimbatore,"Process Manager Operations, HVAC, Quality standards, Pumps, Product data management, Consulting, Data quality, data management analyst",2 weeks ago
Analyst,eClerx,0-4 Yrs,Not mentioned,Pune,"data analysis, Excel, insights, problem solving, reporting, Analysis, Data",2 weeks ago
Analyst,eClerx,0-4 Yrs,Not mentioned,Pune,"Data analysis, Senior Analyst, Advanced Excel, Powerpoint, Analysis, Senior, Data, Excel",2 weeks ago
T&T | ET&P | FT| Analyst | Anaplan,Deloitte Consulting,0-2 Yrs,Not mentioned,Pune,"Data analysis, Interpersonal skills, Senior Analyst, Accounting, Agile development, Data collection, Cima, Budgeting",4 days ago
DATA ANALYST / DATA EXECUTIVE,Anutech Solutions,0-3 Yrs,Not mentioned,Vijayawada,"Data Analyst, Data Executive, Data analysis, Data",3+ weeks ago
Online Data Analyst English,Biz Tech Analytics,0-5 Yrs,Not mentioned,Remote,"English, Backend Operations, Data Annotation, annotation, Back Office Support, image annotation, Data Processing, English Language",2 weeks ago
Internship Junior Data Analyst,Rezultize,0-1 Yrs,Not mentioned,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Computer science, Data analysis, Analytical, Data collection, Market research, Customer engagement, Internship, SQL",3+ weeks ago
Analyst - Data Enrichment,eClerx,0-1 Yrs,Not mentioned,Coimbatore,"Process Manager Operations, HVAC, Quality standards, Pumps, Product data management, Consulting, Data quality, data management analyst",2 weeks ago
Data Analyst,FE Fundinfo,0-3 Yrs,Not mentioned,Chennai,"Analytical skills, Data management, Focus, Agile, Deployment, Data Analyst, Management, SLAS",3+ weeks ago
Analyst,eClerx,0-2 Yrs,Not mentioned,Navi Mumbai,"voice, digital marketing, css, python, adobe analytics, data analysis, data analytics, google adwords",1 week ago
Analyst,eClerx,0-2 Yrs,Not mentioned,Pune,"financial analysis, python, data analysis, data analytics, oracle, bi, investment banking, power bi",3 weeks ago
Data & Backend Analyst,Backrock Studios,0-2 Yrs,Not mentioned,Bengaluru,"Backend, Senior Analyst, Gaming, Senior, Data",3+ weeks ago
Analyst,eClerx,0-2 Yrs,Not mentioned,Navi Mumbai,"python, data analysis, data analytics, data management, informatica powercenter, consulting, data warehousing, dbms",1 week ago
Python Data Analyst,Mantras2Success Consultants,0-3 Yrs,Not mentioned,New Delhi,"Supply chain, Automation, Data analysis, Data management, Analytical, Data Analyst, Continuous improvement, Forecasting",3+ weeks ago
Data Engineer,Intent Amplify,0-2 Yrs,Not mentioned,Pune,"hive, python, data analytics, data analysis, data validation, data processing, data warehousing, dbms",3 weeks ago
"Analyst, LLMO",Dentsu Webchutney,0-5 Yrs,Not mentioned,Pune,"Industry research, Data analysis, Web analytics, Senior Analyst, VLOOKUP, Analytical, SEO, SQL",3+ weeks ago
Data Analyst,Aroha Technologies,0-3 Yrs,Not mentioned,Bengaluru,"Data Analyst, Data analysis, Data",3+ weeks ago
Analyst - Data Enrichment,eClerx,0-2 Yrs,Not mentioned,Coimbatore,"python, data analysis, consulting, pivot table, dbms, vlookup, data enrichment, specifications",2 weeks ago
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,0-5 Yrs,Not mentioned,"New Delhi, Gurugram","Product management, ERP, Data analysis, PHP, Data Analyst, Open source, Data mining, SQL",3+ weeks ago
TARIFF DATA ANALYST,Innover Digital,0-5 Yrs,Not mentioned,Bengaluru,"Supply chain, IT services, Trade, Management systems, Project management, Data Analyst, trade operations, Continuous improvement",3+ weeks ago
Data Analyst (Marathi Speaker - India),Peroptyx,0-5 Yrs,Not mentioned,Remote,"English, Marathi, Data Analysis, Attention To Detail, Mapping, Research, Interpretation, Analysis",1 week ago
Data Analysis Intern,Discover Dollar Technologies,0-1 Yrs,Not mentioned,Bengaluru,"Data analysis, Version control, GIT, data manipulation, Analytical, Data structures, Data quality, Analytics",3+ weeks ago
Data Analyst / Web Researcher,Myvirtualdesks,0-3 Yrs,Not mentioned,Pune,"Data analysis, Web technologies, Data Analyst, Data analytics, data visualization, Management, Forecasting, Testing",3+ weeks ago
Data Analyst (Associate),Aumni Techworks,0-3 Yrs,Not mentioned,Pune,"python, data analysis, data manipulation, stakeholder management, power bi, sql, communication skills, Analysis",3+ weeks ago
Analyst,eClerx,0-2 Yrs,Not mentioned,Navi Mumbai,"advanced analytics, chat process, data analytics, inbound, customer service, financial services, sales, customer support",1 week ago
Analyst,eClerx,0-2 Yrs,Not mentioned,Chandigarh,"voice, data analytics, customer service, verbal communication, policies, crm software, call center technology, financial services",1 week ago
Analyst,eClerx,0-4 Yrs,Not mentioned,Pune,"Basic, Interpersonal skills, Excel, Sales, Web technologies, Senior Analyst, Analytical, CRM",2 weeks ago
Data Engineer - Python,Busigence Technologies,0-3 Yrs,Not mentioned,Remote,"deep learning, Data analysis, data science, Machine learning, HTTP, Natural language processing, Data analytics, Business intelligence",3+ weeks ago
Data Scientist,Biocube,0-3 Yrs,Not mentioned,Noida,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning",3+ weeks ago
Senior Analyst,eClerx,0-3 Yrs,Not mentioned,Pune,"emerging technologies, data systems, business growth, communication and interpersonal skills, communication skills, Interpersonal, Analysis, Interpersonal skills",3+ weeks ago
Data Analyst,Golden Management Services,0-2 Yrs,Not mentioned,"Hybrid - Hyderabad, Pune, Bengaluru","Data Analytics, Power Bi, Data Visualization, SQL, Analytics, Data analysis, Bi, Data",1 week ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",1 week ago
Data Analyst,MNC,0-2 Yrs,Not mentioned,"Pimpri-Chinchwad, Pune","Google Sheets, Power Bi, MS Office, SQL, Data Analytics, Large Databases, Google Data Studio, data vis",2 weeks ago
"Data Analyst Fresher , Data Analytics",Apex Engineering Solutions,0-1 Yrs,Not mentioned,"Kolkata, Pune, Chennai","Data Analytics, Business Intelligence, Power Bi, Data Extraction, Data Cleansing, Advanced Excel, Tableau, Data Entry",1 week ago
Online Data Analyst - Malyalam_TELUS Digital,TELUS Digital,0-5 Yrs,Not mentioned,Remote,"Malyalam, Geographical Information System, Navigation, Mapping, GPS, Google Earth, Map, google maps",5 days ago
Service Desk Quality Analyst,Transperfect,0-2 Yrs,Not mentioned,Pune,"Quality Audit, SLA, Ticketing Tools, Network Support, System Support, Quality analysis, Tools, Quality",3 days ago
Data Operations Senior Analyst,Castrol,0-5 Yrs,Not mentioned,Pune,"Health insurance, Change management, ERP, SAP, Data conversion, Financial reporting, Workflow, Customer support",1 week ago
Analyst,eClerx,0-4 Yrs,Not mentioned,Chandigarh,"Basic, Automation, Usage, E-commerce, Data Analyst, Analysis, Data analysis, Data",3 days ago
Trading Services Associate II,JPMorgan Chase Bank,0-4 Yrs,Not mentioned,Bengaluru,"Data analysis, Automation, Operational excellence, data science, Analytical, Reconciliation, Risk management, Financial services",Just now
Analytics Solution Associate,JPMorgan Chase Bank,0-4 Yrs,Not mentioned,Bengaluru,"Automation, Data analysis, SAS, Project management, Workflow, Oracle, Teradata, MS Office",Just now
Associate Information/Cybersecurity Analyst,PTC,0-2 Yrs,Not mentioned,Pune,"python, c, golang, interpersonal skills, reverse engineering, vulnerability management, technology, javascript",3 days ago
Senior Data Scientist- Machine Learning,Trinity Life Sciences,0-5 Yrs,Not mentioned,Bengaluru,"algorithms, python, data analysis, modeling, strong analytical skills, presentation skills, predictive, problem solving",6 days ago
Senior Analyst (Campus),eClerx,0-3 Yrs,Not mentioned,Pune,"Analyst, remediation, Change management, Automation, Consulting, Investment banking, Operations, Financial services",3+ weeks ago
Executive - MIS,Securens Systems,0-4 Yrs,Not mentioned,Chennai,"hlookup, macros, data analysis, data management, data analytics, mis reporting, data validation, documentation",3+ weeks ago
Hiring For Data Analyst & Data Science at Pune,DASA TECHNOWORLD PVT LTD,0-3 Yrs,Not mentioned,Pune,"Data Science, Data Analytics, Predictive Modeling, Artificial Intelligence, Good Comm Skills, Data Analyst, Data Science Trainer, Machine Learning",1 week ago
Data Analyst/Sr. Data Analyst,Trizteck,0-5 Yrs,Not mentioned,New Delhi(Greater Kailash 1),"Data Analysis, Business Research, Power Bi, Company Research, Competitive Intelligence, Research Analysis, Data Mining, Market Intelligence",2 weeks ago
Sr . Executive Data Analyst,Xpand,0-3 Yrs,Not mentioned,"Noida, Mumbai, New Delhi","Senior Executive, Data Analyst, Data, SR, Senior, Data analysis",3+ weeks ago
Data Analyst / Computer Operator,Elegant Technologies India,0-3 Yrs,Not mentioned,Faridabad,"Computer Operator, Data Analyst, data analysis, operations, business development, data handling, data entry, sales",3 weeks ago
Intern - Data Analyst,Visit Health,0-1 Yrs,Not mentioned,Gurugram,"Data analysis, Intern, Nutrition, Analytical, Healthcare, Data Analyst, Analytics, SQL",3+ weeks ago
Data Analyst Trainee,eAspire Technolabs Inc.,0-1 Yrs,Not mentioned,Kolkata,"Power Bi, Bi Tools, Tableau, Bi, Training, Data analysis, Data, Tools",3+ weeks ago
Junior Data Analyst,Neev Advisory Research & Consultancy Services,0-2 Yrs,Not mentioned,Gurugram,"Excel, STATA, Packaging, M&A, Data Analyst, MS Word, SPSS, Research",3+ weeks ago
Data Analyst - Intern,Claight Corporation Expert Market Research,0-1 Yrs,Not mentioned,Noida,"Data analysis, Intern, Data Analyst, Analytics, Analysis, Data",3+ weeks ago
Trainee Data Analyst,Global Survey,0-1 Yrs,Not mentioned,Noida,"Data Analyst, Data, Data analysis, Training",3+ weeks ago
Associate Support Analyst,Data Axle Solutions,0-4 Yrs,Not mentioned,Pune,"Product management, RCA, Root cause analysis, Ticketing, Law enforcement, Issue resolution, Customer support, Customer service",Just now
Analyst - Lam,eClerx,0-2 Yrs,Not mentioned,Coimbatore,"financial analysis, data analysis, analytical, windows xp, operating systems, ms outlook, monitoring, analysis",6 days ago
Data Engineer,APM Terminals,0-2 Yrs,Not mentioned,Bengaluru,"Automation, Data analysis, Data management, Database design, Data structures, Risk management, Analytics, Auditing",Today
Business Analyst,Barclays,0-13 Yrs,Not mentioned,Pune,"Process design, Change management, Operational excellence, ISO, Analytical, Vice President, Issue resolution, Operations",2 weeks ago
Data Analyst,Softmason Technologies India,0-2 Yrs,Not mentioned,"Hybrid - Hyderabad, Pune, Bengaluru","Data Analytics, Artificial Intelligence, Machine Learning, Data, Analytics, Machine, Intelligence, Data analysis",2 weeks ago
Operations Executive - Data Analyst,Flipkart,0-1 Yrs,Not mentioned,Bengaluru,"Advanced Excel, Stakeholder Management, Pivot Table, Good Communication In English, VLOOKUP, Conditional Formatting, Formulas, Hindi Speaking",3+ weeks ago
Data Analyst/MIS Executive,Vridhi Home Finance,0-3 Yrs,Not mentioned,Bengaluru,"Power Bi, Data Management And Analysis, Analytical, Problem Solving, Management, Analytics, Analysis, Bi",1 week ago
Analyst,eClerx,0-2 Yrs,Not mentioned,Navi Mumbai,"service level, data analysis, consulting, data warehousing, dbms, workforce management, research, sql",1 week ago
Analyst,eClerx,0-4 Yrs,Not mentioned,Mumbai,"microsoft office applications, database maintenance, data analysis, windows xp, operating systems, problem solving, analysis, autocad",1 week ago
IDT-Sales and Use Tax-Advanced Analyst,EY,0-2 Yrs,Not mentioned,Bengaluru,"Usage, Assurance, Sales, Senior Analyst, Project management, Analytical, Consulting, Taxation",Just now
"Analyst, LLMO",Dentsu Webchutney,0-5 Yrs,Not mentioned,Bengaluru,"Industry research, Data analysis, Web analytics, Senior Analyst, VLOOKUP, Analytical, SEO, SQL",3+ weeks ago
"Analyst, LLMO",Dentsu Webchutney,0-5 Yrs,Not mentioned,Mumbai,"Industry research, Data analysis, Web analytics, Senior Analyst, VLOOKUP, Analytical, SEO, SQL",3+ weeks ago
Decision Analyst,Barclays,0-7 Yrs,Not mentioned,Noida,"Analyst, Loans, Data analysis, Analytical, Data quality, Manager Quality Control, Continuous improvement, Forecasting",3+ weeks ago
Business Analyst,Barclays,0-5 Yrs,Not mentioned,Pune,"Data analysis, Change management, Business analysis, Project management, Analytical, Vice President, Workflow, Operations",3+ weeks ago
Senior Analyst,Dentsu Webchutney,0-8 Yrs,Not mentioned,Pune,"Training, Sales, data science, Senior Analyst, Team development, Analysis, Senior, Science",2 weeks ago
Business Analyst,Barclays,0-13 Yrs,Not mentioned,Pune,"Process design, remediation, Change management, Business Analyst, Business analysis, Agile, Business strategy, Visio",3+ weeks ago
Business Analyst-VP,Barclays,0-5 Yrs,Not mentioned,Pune,"Process design, Business communication, Change management, Data migration, Trade finance, Analytical, Vice President, Operations",3+ weeks ago
Data Engineer,Billions United,0-2 Yrs,Not mentioned,Bengaluru,"algorithms, python, data analysis, modeling, data mining, strong analytical skills, data pipeline, data engineering",3+ weeks ago
Sr. Analyst,Dentsu Webchutney,0-2 Yrs,Not mentioned,Pune,"Training, Sales, data science, Senior Analyst, Team development, Science, Team, Data",3+ weeks ago
Sr. Analyst,Dentsu Webchutney,0-2 Yrs,Not mentioned,Pune,"Training, Sales, data science, Senior Analyst, Team development, Team, SR, Development",3+ weeks ago
Sr. Analyst,Dentsu Webchutney,0-2 Yrs,Not mentioned,Pune,"Training, Sales, data science, Senior Analyst, Team development, Science, Team, Data",3+ weeks ago
Business Analyst,Vmock,0-2 Yrs,Not mentioned,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Analytical skills, Business Analyst, Customer satisfaction, Machine learning, Customer experience, Business intelligence, Content development, Analytics",3+ weeks ago
Data Scientist,LLP S3bglobal Technologies,0-3 Yrs,Not mentioned,Bengaluru,"Data analysis, Operations research, Analytical, MySQL, Spanish, Predictive modeling, Oracle, Econometrics",3+ weeks ago
